School Code,School Name,School Type,Address 1,Town,State,TOTAL_Enrollment,Average Salary,Zipcode
1600340,James Sullivan Middle School,Public School,150 Draper Street,Lowell,MA,670,76951,1852
1600050,John J Shaughnessy,Public School,1158 Gorham Street,Lowell,MA,484,76951,1852
1600010,Joseph McAvinnue,Public School,131 Mammoth Road,Lowell,MA,496,76951,1854
1600360,Kathryn P. Stoklosa Middle School,Public School,560 Broadway Street,Lowell,MA,673,76951,1854
1600085,Laura Lee Therapeutic Day School,Public School,235 Powell Street,Lowell,MA,18,76951,1851
1600320,Leblanc Therapeutic Day School,Public School,58 Sycamore Street,Lowell,MA,33,76951,1852
1600505,Lowell High,Public School,50 Father Morrissette Boulevard,Lowell,MA,3145,76951,1852
1600027,Moody Elementary,Public School,158 Rogers Street,Lowell,MA,249,76951,1852
1600036,Pawtucketville Memorial,Public School,425 West Meadow Road,Lowell,MA,505,76951,1854
1600040,Peter W Reilly,Public School,115 Douglas Road,Lowell,MA,549,76951,1852
1600018,Pyne Arts,Public School,145 Boylston Street,Lowell,MA,498,76951,1852
1600005,Rogers STEM Academy,Public School,43 Highland Street,Lowell,MA,607,76951,1852
1600075,S Christa McAuliffe Elementary,Public School,570 Beacon Street,Lowell,MA,492,76951,1850
1600515,The Career Academy,Public School,125 Smith Street,Lowell,MA,119,76951,1851
1600055,Washington,Public School,795 Wilder Street,Lowell,MA,258,76951,1851
4560050,Lowell Community Charter Public School,Charter School,206 Jackson Street,Lowell,MA,817,,1852
4580505,Lowell Middlesex Academy Charter School,Charter School,67 Middle Street,Lowell,MA,94,,1852
1610020,Chapin Street Elementary School,Public School,766 Chapin Street,Ludlow,MA,346,59724,1056
1610010,East Street Elementary School,Public School,508 East Street,Ludlow,MA,370,59724,1056
1610505,Ludlow Senior High,Public School,500 Chapin Street,Ludlow,MA,895,59724,1056
1610305,Paul R Baird Middle,Public School,1 Rooney Road,Ludlow,MA,684,59724,1056
1610023,Veterans Park Elementary,Public School,486 Chapin Street,Ludlow,MA,366,59724,1056
1620505,Lunenburg High,Public School,1079 Massachusetts Avenue,Lunenburg,MA,439,74592,1462
1620305,Lunenburg Middle School,Public School,1079 Massachusetts Avenue,Lunenburg,MA,388,74592,1462
1620010,Lunenburg Primary School,Public School,1401 Massachusetts Avenue,Lunenburg,MA,386,74592,1462
1620025,Turkey Hill Elementary School,Public School,129 Northfield Road,Lunenburg,MA,400,74592,1462
1630016,A Drewicz Elementary,Public School,34 Hood Street,Lynn,MA,484,73395,1905
1630011,Aborn,Public School,409 Eastern Avenue,Lynn,MA,259,73395,1902
1630405,Breed Middle School,Public School,90 OCallaghan Way,Lynn,MA,1296,73395,1905
1630020,Brickett Elementary,Public School,123 Lewis Street,Lynn,MA,282,73395,1902
1630090,Capt William G Shoemaker,Public School,26 Regina Rd,Lynn,MA,312,73395,1904
1630505,Classical High,Public School,235 O Callaghan Way,Lynn,MA,1569,73395,1905
1630035,Cobbet Elementary,Public School,40 Franklin Street,Lynn,MA,623,73395,1902
1630045,E J Harrington,Public School,21 Dexter Street,Lynn,MA,667,73395,1902
1630004,Early Childhood Center,Public School,90 Commercial Street,Lynn,MA,298,73395,1905
1630095,Edward A Sisson,Public School,58 Conomo Avenue,Lynn,MA,437,73395,1904
1630525,Fecteau-Leary Junior/Senior High School,Public School,33 North Common Street,Lynn,MA,308,73395,1902
1630055,Hood,Public School,24 Oakwood Avenue,Lynn,MA,475,73395,1902
1630060,Ingalls,Public School,1 Collins Street Terrace,Lynn,MA,691,73395,1902
1630030,Julia F Callahan,Public School,200 O'Callaghan Way,Lynn,MA,474,73395,1905
1630070,Lincoln-Thomson,Public School,115 Gardiner Street,Lynn,MA,248,73395,1905
1630510,Lynn English High,Public School,50 Goodridge Street,Lynn,MA,1598,73395,1902
1630605,Lynn Vocational Technical Institute,Public School,80 Neptune Blvd,Lynn,MA,969,73395,1902
1630075,Lynn Woods,Public School,31 Trevett Avenue,Lynn,MA,163,73395,1904
1630420,Pickering Middle,Public School,70 Conomo Avenue,Lynn,MA,618,73395,1904
1630050,Robert L Ford,Public School,49 Hollingsworth St,Lynn,MA,508,73395,1902
1630085,Sewell-Anderson,Public School,25 Ontario Street,Lynn,MA,286,73395,1905
1630305,Thurgood Marshall Mid,Public School,100 Brookline Street,Lynn,MA,1163,73395,1902
1630100,Tracy,Public School,35 Walnut Street,Lynn,MA,424,73395,1905
1630005,Washington Elementary School,Public School,58 Blossom Street,Lynn,MA,468,73395,1902
1630080,William R Fallon,Public School,100 Robinson Street,Lynn,MA,48,73395,1905
1630040,Wm P Connery,Public School,50 Elm Street,Lynn,MA,631,73395,1905
1640010,Huckleberry Hill,Public School,5 Knoll Road,Lynnfield,MA,413,79560,1940
1640505,Lynnfield High,Public School,275 Essex Street,Lynnfield,MA,628,79560,1940
1640405,Lynnfield Middle School,Public School,505 Main Street,Lynnfield,MA,698,79560,1940
1640005,Lynnfield Preschool,Public School,262 Summer Street,Lynnfield,MA,47,79560,1940
1640020,Summer Street,Public School,262 Summer Street,Lynnfield,MA,421,79560,1940
4690505,MATCH Charter Public School,Charter School,1001 Commonwealth Avenue,Boston,MA,1145,,2215
4680505,Ma Academy for Math and Science School,Public School,85 Prescott Street,Worcester,MA,97,,1605
1650003,Beebe,Public School,401 Pleasant Street,Malden,MA,883,83740,2148
1650013,Ferryway,Public School,150 Cross Street,Malden,MA,912,83740,2148
1650027,Forestdale,Public School,74 Sylvan Street,Malden,MA,582,83740,2148
1650047,Linden,Public School,29 Wescott Street,Malden,MA,897,83740,2148
1650049,Malden Early Learning Center,Public School,257 Mountain Avenue,Malden,MA,299,83740,2148
1650505,Malden High,Public School,77 Salem Street,Malden,MA,1833,83740,2148
1650057,Salemwood,Public School,529 Salem Street,Malden,MA,1217,83740,2148
6980020,Essex Elementary,Public School,12 Story Street,Essex,MA,225,72385,1929
6980510,Manchester Essex Regional High School,Public School,36 Lincoln Street,Manchester,MA,424,72385,1944
6980030,Manchester Essex Regional Middle School,Public School,36 Lincoln Street,Manchester,MA,386,72385,1944
6980010,Manchester Memorial Elementary,Public School,43 Lincoln Street,Manchester,MA,361,72385,1944
1670007,Everett W Robinson,Public School,245 East Street,Mansfield,MA,710,77465,2048
1670035,Harold L Qualters Middle,Public School,240 East Street,Mansfield,MA,1012,77465,2048
1670014,Jordan/Jackson Elementary,Public School,255 East Street,Mansfield,MA,835,77465,2048
1670505,Mansfield High,Public School,250 East Street,Mansfield,MA,1315,77465,2048
1670003,Roland Green School,Public School,29 Dean Street,Mansfield,MA,86,77465,2048
1680015,Elbridge Gerry,Public School,50 Elm Street,Marblehead,MA,147,67142,1945
1680020,Glover,Public School,9 Maple Street,Marblehead,MA,341,67142,1945
1680010,L H Coffin,Public School,1 Turner Rd,Marblehead,MA,167,67142,1945
1680005,Malcolm L Bell,Public School,40 Baldwin Rd,Marblehead,MA,267,67142,1945
1680505,Marblehead High,Public School,2 Humphrey Street,Marblehead,MA,1051,67142,1945
1680300,Marblehead Veterans Middle School,Public School,217 Pleasant Street,Marblehead,MA,503,67142,1945
1680016,Village School,Public School,93 Village Street,Marblehead,MA,668,67142,1945
4640305,Marblehead Community Charter Public School,Charter School,17 Lime Street,Marblehead,MA,230,,1945
1690005,Sippican,Public School,16 Spring Street,Marion,MA,458,82742,2738
1700045,1 LT Charles W. Whitcomb School,Public School,25 Union Street,Marlborough,MA,1285,75495,1752
1700030,Charles Jaworek School,Public School,444 Hosmer Street,Marlborough,MA,836,75495,1752
1700006,Early Childhood Center,Public School,17 Washington Street,Marlborough,MA,164,75495,1752
1700008,Francis J Kane,Public School,520 Farm Road,Marlborough,MA,621,75495,1752
1700505,Marlborough High,Public School,431 Bolton Street,Marlborough,MA,1091,75495,1752
1700025,Richer,Public School,80 Foley Road,Marlborough,MA,528,75495,1752
1710015,Daniel Webster,Public School,1456 Ocean Street,Marshfield,MA,379,70582,2050
1710005,Eames Way School,Public School,165 Eames Way,Marshfield,MA,254,70582,2050
1710310,Furnace Brook Middle,Public School,500 Furnace Street,Marshfield,MA,1016,70582,2050
1710020,Gov Edward Winslow,Public School,60 Regis Rd,Marshfield,MA,423,70582,2050
1710505,Marshfield High,Public School,167 Forest Street,Marshfield,MA,1370,70582,2050
1710025,Martinson Elementary,Public School,275 Forest Street,Marshfield,MA,442,70582,2050
1710010,South River,Public School,59 Hatch Street,Marshfield,MA,361,70582,2050
7000505,Martha's Vineyard Regional High,Public School,Box 1385,Oak Bluffs,MA,661,88815,2557
4660550,Martha's Vineyard Charter School,Charter School,PO Box 1150,West Tisbury,MA,173,,2575
4920005,Martin Luther King Jr. Charter School of Excellence,Charter School,285 Dorset Street,Springfield,MA,366,,1108
7050505,Masconomet Regional High School,Public School,20 Endicott Rd,Boxford,MA,1188,94253,1921
7050405,Masconomet Regional Middle School,Public School,20 Endicott Rd,Boxford,MA,649,94253,1921
1720005,Kenneth Coombs School,Public School,152 Old Barnstable Road,Mashpee,MA,314,73750,2649
1720505,Mashpee High,Public School,500 Old Barnstable Road,Mashpee,MA,415,73750,2649
1720020,Mashpee Middle School,Public School,500 Old Barnstable Road,Mashpee,MA,277,73750,2649
1720035,Quashnet School,Public School,150 Old Barnstable Road,Mashpee,MA,494,73750,2649
1730005,Center,Public School,17 Barstow Street,Mattapoisett,MA,235,73206,2739
1730010,Old Hammondtown,Public School,20 Shaw Street,Mattapoisett,MA,212,73206,2739
1740305,Fowler School,Public School,3 Tiger Drive,Maynard,MA,435,68774,1754
1740010,Green Meadow,Public School,5 Tiger Drive,Maynard,MA,502,68774,1754
1740505,Maynard High,Public School,1 Tiger Drive,Maynard,MA,502,68774,1754
1750005,Dale Street,Public School,45 Adams Street,Medfield,MA,369,78845,2052
1750505,Medfield Senior High,Public School,88R South Street,Medfield,MA,842,78845,2052
1750003,Memorial School,Public School,59 Adams Street,Medfield,MA,419,78845,2052
1750007,Ralph Wheelock School,Public School,17 Elm Street,Medfield,MA,348,78845,2052
1750305,Thomas Blake Middle,Public School,24 Pound Street,Medfield,MA,626,78845,2052
1760130,Brooks School,Public School,388 High Street,Medford,MA,497,72648,2155
1760140,Christopher Columbus,Public School,37 Hicks Avenue,Medford,MA,426,72648,2155
1760510,Curtis-Tufts,Public School,437 Main Street,Medford,MA,22,72648,2155
1760068,John J McGlynn Elementary School,Public School,3002 Mystic Valley Pkwy,Medford,MA,544,72648,2155
1760320,John J. McGlynn Middle School,Public School,3004 Mystic Valley Parkway,Medford,MA,476,72648,2155
1760315,Madeleine Dugger Andrews,Public School,3000 Mystic Valley Pkwy,Medford,MA,506,72648,2155
1760505,Medford High,Public School,489 Winthrop Street,Medford,MA,1174,72648,2155
1760605,Medford Vocational Technical High,Public School,489 Winthrop Street,Medford,MA,257,72648,2155
1760150,Milton Fuller Roberts,Public School,35 Court Street,Medford,MA,585,72648,2155
1770015,Burke/Memorial Elementary School,Public School,16 Cassidy Lane,Medway,MA,501,85216,2053
1770013,John D Mc Govern Elementary,Public School,9 Lovering Street,Medway,MA,343,85216,2053
1770505,Medway High,Public School,88 Summer Street,Medway,MA,762,85216,2053
1770305,Medway Middle,Public School,45 Holliston Street,Medway,MA,710,85216,2053
1780003,Early Childhood Center,Public School,16 Franklin Street,Melrose,MA,290,60939,2176
1780017,Herbert Clark Hoover,Public School,37 Glendower Road,Melrose,MA,251,60939,2176
1780025,Horace Mann,Public School,40 Damon Avenue,Melrose,MA,265,60939,2176
1780020,Lincoln,Public School,80 West Wyoming Avenue,Melrose,MA,430,60939,2176
1780505,Melrose High,Public School,360 Lynn Fells Parkway,Melrose,MA,988,60939,2176
1780305,Melrose Middle,Public School,350 Lynn Fells Parkway,Melrose,MA,772,60939,2176
1780035,Roosevelt,Public School,253 Vinton Street,Melrose,MA,429,60939,2176
1780050,Winthrop,Public School,162 First Street,Melrose,MA,373,60939,2176
7100179,Henry P Clough,Public School,10 North Avenue,Mendon,MA,428,75823,1756
7100001,Memorial School,Public School,69 Main Street,Upton,MA,437,75823,1568
7100015,Miscoe Hill School,Public School,148 North Avenue,Mendon,MA,780,75823,1756
7100510,Nipmuc Regional High,Public School,90 Pleasant Street,Upton,MA,593,75823,1568
1810050,Comprehensive Grammar School,Public School,100 Howe Street,Methuen,MA,1115,77384,1844
1810060,Donald P Timony Grammar,Public School,45 Pleasant View Street,Methuen,MA,1349,77384,1844
1810030,Marsh Grammar School,Public School,309 Pelham Street,Methuen,MA,1242,77384,1844
1810505,Methuen High,Public School,1 Ranger Rd,Methuen,MA,1891,77384,1844
1810055,Tenney Grammar School,Public School,75 Pleasant Street,Methuen,MA,1299,77384,1844
1820008,Henry B. Burkland Elementary School,Public School,41 Mayflower Avenue,Middleborough,MA,578,67080,2346
1820305,John T. Nichols Middle,Public School,112 Tiger Drive,Middleborough,MA,774,67080,2346
1820010,Mary K. Goode Elementary School,Public School,31 Mayflower Avenue,Middleborough,MA,586,67080,2346
1820011,Memorial Early Childhood Center,Public School,219 North Main Street,Middleboro,MA,130,67080,2346
1820505,Middleborough High,Public School,71 East Grove Street,Middleborough,MA,694,67080,2346
1840003,Fuller Meadow,Public School,143 South Main Street,Middleton,MA,221,69763,1949
1840005,Howe-Manning,Public School,26 Central Street,Middleton,MA,478,69763,1949
1850065,Brookside,Public School,110 Congress Street,Milford,MA,499,71246,1757
1850010,Memorial,Public School,12-14 Walnut Street,Milford,MA,466,71246,1757
1850505,Milford High,Public School,31 West Fountain Street,Milford,MA,1135,71246,1757
1850075,Shining Star Early Childhood Center,Public School,31 West Fountain Street,Milford,MA,136,71246,1757
1850305,Stacy Middle,Public School,66 School Street,Milford,MA,968,71246,1757
1850090,Woodland,Public School,10 North Vine Street,Milford,MA,983,71246,1757
1860017,Elmwood Street,Public School,40 Elmwood Street,Millbury,MA,563,75778,1527
1860505,Millbury Junior/Senior High,Public School,12 Martin Street,Millbury,MA,727,75778,1527
1860025,Raymond E. Shaw Elementary,Public School,58 Elmwood Street,Millbury,MA,437,75778,1527
1870005,Clyde F Brown,Public School,5 Park Rd,Millis,MA,504,76193,2054
1870505,Millis High School,Public School,245 Plain Street,Millis,MA,390,76193,2054
1870020,Millis Middle,Public School,245 Plain Street,Millis,MA,429,76193,2054
1890410,Charles S Pierce Middle,Public School,451 Central Ave,Milton,MA,915,80117,2186
1890005,Collicot,Public School,80 Edge Hill Rd,Milton,MA,705,80117,2186
1890007,Cunningham School,Public School,44 Edge Hill Rd,Milton,MA,505,80117,2186
1890010,Glover,Public School,255 Canton Avenue,Milton,MA,589,80117,2186
1890505,Milton High,Public School,25 Gile Road,Milton,MA,1001,80117,2186
1890020,Tucker,Public School,187 Blue Hills Pkwy,Milton,MA,435,80117,2186
8300605,Minuteman Regional High,Public School,758 Marrett Rd,Lexington,MA,582,81199,2421
7170005,Buckland-Shelburne Regional,Public School,75 Mechanic Street,Shelburne Falls,MA,259,74302,1370
7170010,Colrain Central,Public School,22 Jacksonville Rd,Colrain,MA,112,74302,1340
7170015,Heath Elementary,Public School,18 Jacobs Road,Charlemont,MA,29,74302,1339
7170505,Mohawk Trail Regional High,Public School,26 Ashfield Road,Shelburne Falls,MA,422,74302,1370
7170020,Sanderson Academy,Public School,808 Cape Street,Ashfield,MA,143,74302,1330
7120001,Chatham Elementary School,Public School,147 Depot Road,Chatham,MA,273,71252,2633
7120002,Harwich Elementary School,Public School,263 South Street,Harwich,MA,566,71252,2645
7120515,Monomoy Regional High School,Public School,75 Oak Street,Harwich,MA,599,71252,2645
7120315,Monomoy Regional Middle School,Public School,425 Crowell Road,Chatham,MA,426,71252,2633
1910310,Granite Valley Middle,Public School,21 Thompson Street,Monson,MA,313,60397,1057
1910505,Monson High School,Public School,55 Margaret Street,Monson,MA,287,60397,1057
1910025,Quarry Hill Community School,Public School,43 Margaret Street,Monson,MA,379,60397,1057
8320605,Montachusett Regional Vocational Technical,Public School,1050 Westminster Street,Fitchburg,MA,1429,76994,1420
7150505,Mt Greylock Regional High,Public School,1781 Cold Spring Road,Williamstown,MA,562,79391,1267
4700105,Mystic Valley Regional Charter School,Charter School,770 Salem Street,Malden,MA,1486,,2148
1960010,Johnson,Public School,290 Castle Road,Nahant,MA,142,76600,1908
1970010,Cyrus Peirce,Public School,10 Surfside Road,Nantucket,MA,328,84528,2554
1970005,Nantucket Elementary,Public School,30 Surfside Road,Nantucket,MA,717,84528,2554
1970505,Nantucket High,Public School,10 Surfside Road,Nantucket,MA,538,84528,2554
7200005,Baldwinville Elementary,Public School,16 School Street,Baldwinville,MA,277,63710,1436
7200305,Narragansett Middle,Public School,460 Baldwinville Rd,Baldwinville,MA,421,63710,1436
7200505,Narragansett Regional High,Public School,464 Baldwinville Rd,Baldwinville,MA,372,63710,1436
7200003,Phillipston Memorial,Public School,20 The Common,Phillipston,MA,163,63710,1331
7200020,Templeton Center,Public School,460 Baldwinville Rd,Baldwinville,MA,158,63710,1436
7250020,Center School,Public School,403 Great Rd,Stow,MA,609,71458,1775
7250025,Florence Sawyer School,Public School,100 Mechanic Street,Bolton,MA,774,71458,1740
7250310,Hale,Public School,55 Hartley Road,Stow,MA,287,71458,1775
7250305,Luther Burbank Middle School,Public School,1 Hollywood Drive,Lancaster,MA,247,71458,1523
7250010,Mary Rowlandson Elementary,Public School,103 Hollywood Drive,Lancaster,MA,485,71458,1523
7250505,Nashoba Regional,Public School,12 Green Road,Bolton,MA,1011,71458,1740
8520605,Nashoba Valley Technical High School,Public School,100 Littleton Road,Westford,MA,732,71400,1886
1980005,Bennett-Hemenway,Public School,22 East Evergreen Rd,Natick,MA,624,68893,1760
1980010,Brown,Public School,1 Jean Burke Drive,Natick,MA,515,68893,1760
1980305,J F Kennedy Middle School,Public School,165 Mill Street,Natick,MA,649,68893,1760
1980031,Johnson,Public School,99 South Main Street,Natick,MA,222,68893,1760
1980035,Lilja Elementary,Public School,41 Bacon Street,Natick,MA,417,68893,1760
1980043,Memorial,Public School,107 Eliot Street,Natick,MA,434,68893,1760
1980505,Natick High,Public School,15 West Street,Natick,MA,1664,68893,1760
1980310,Wilson Middle,Public School,22 Rutledge Rd,Natick,MA,947,68893,1760
6600505,Nauset Regional High,Public School,100 Cable Rd,North Eastham,MA,929,80325,2651
6600305,Nauset Regional Middle,Public School,70 Route 28,Orleans,MA,535,80325,2653
1990005,Broadmeadow,Public School,120 Broadmeadow Rd,Needham,MA,553,87555,2492
1990410,High Rock School,Public School,77 Ferndale Road,Needham,MA,421,87555,2492
1990035,Hillside Elementary,Public School,28 Glen Gary Rd,Needham,MA,472,87555,2494
1990020,John Eliot,Public School,135 Wellesley Avenue,Needham,MA,392,87555,2494
1990505,Needham High,Public School,609 Webster Street,Needham,MA,1659,87555,2494
1990050,Newman Elementary,Public School,1155 Central Avenue,Needham,MA,720,87555,2492
1990405,Pollard Middle,Public School,200 Harris Avenue,Needham,MA,876,87555,2492
1990040,William Mitchell,Public School,187 Brookline Street,Needham,MA,495,87555,2492
4440205,Neighborhood House Charter School,Charter School,21 Queen Street,Dorchester,MA,457,,2122
2010095,Abraham Lincoln,Public School,445 Ashley Blvd,New Bedford,MA,783,73320,2745
2010063,Alfred J Gomes,Public School,286 S Second Street,New Bedford,MA,548,73320,2740
2010140,Betsey B Winslow,Public School,561 Allen Street,New Bedford,MA,297,73320,2740
2010105,Carlos Pacheco,Public School,261 Mt Pleasant Stre,New Bedford,MA,381,73320,2746
2010123,Casimir Pulaski,Public School,1097 Braley Rd,New Bedford,MA,721,73320,2745
2010010,Charles S Ashley,Public School,122 Rochambeau Street,New Bedford,MA,331,73320,2745
2010015,Elizabeth Carter Brooks,Public School,212 Nemasket Street,New Bedford,MA,289,73320,2740
2010075,Ellen R Hathaway,Public School,256 Court Street,New Bedford,MA,288,73320,2740
2010020,Elwyn G Campbell,Public School,145 Essex Street,New Bedford,MA,275,73320,2745
2010078,Hayden/McFadden,Public School,361 Cedar Grove,New Bedford,MA,622,73320,2746
2010040,James B Congdon,Public School,50 Hemlock Street,New Bedford,MA,364,73320,2740
2010130,Jireh Swift,Public School,2203 Acushnet Avenue,New Bedford,MA,233,73320,2745
2010115,John Avery Parker,Public School,705 County Street,New Bedford,MA,297,73320,2740
2010050,John B Devalles,Public School,120 Katherine Street,New Bedford,MA,338,73320,2744
2010070,John Hannigan,Public School,71 Portland Street,New Bedford,MA,373,73320,2744
2010405,Keith Middle School,Public School,225 Hathaway Blvd,New Bedford,MA,885,73320,2740
2010505,New Bedford High,Public School,230 Hathaway Blvd,New Bedford,MA,2014,73320,2740
2010410,Normandin Middle School,Public School,81 FELTON ST,New Bedford,MA,1125,73320,2745
2010124,Renaissance Community School for the Arts,Public School,286 South Second Street,New Bedford,MA,247,73320,2740
2010415,Roosevelt Middle School,Public School,119 Frederick Street,New Bedford,MA,792,73320,2744
2010045,Sgt Wm H Carney Academy,Public School,247 Elm Street,New Bedford,MA,816,73320,2740
2010125,Thomas R Rodman,Public School,497 Mill Street,New Bedford,MA,217,73320,2740
2010510,Trinity Day Academy,Public School,181 Hillman Street,New Bedford,MA,63,73320,2740
2010515,Whaling City Junior/Senior High School,Public School,455 County Street,New Bedford,MA,110,73320,2740
2010135,William H Taylor,Public School,620 Brock Avenue,New Bedford,MA,231,73320,2744
7280015,Swift River,Public School,201 Wendell Rd,New Salem,MA,169,45204,1355
2040030,Edward G. Molin Elementary School,Public School,70 Low Street,Newburyport,MA,331,78278,1950
2040005,Francis T Bresnahan Elementary,Public School,333 High Street,Newburyport,MA,643,78278,1950
2040505,Newburyport High,Public School,241 High Street,Newburyport,MA,779,78278,1950
2040305,Rupert A Nock Middle,Public School,70 Low Street,Newburyport,MA,542,78278,1950
2070005,A E Angier,Public School,1697 Beacon Street,Waban,MA,421,75665,2468
2070305,Bigelow Middle,Public School,42 Vernon St,Newton,MA,525,75665,2458
2070015,Bowen,Public School,280 Cypress Street,Newton Centre,MA,417,75665,2459
2070020,C C Burr,Public School,171 Pine Street,Auburndale,MA,402,75665,2466
2070025,Cabot,Public School,229 Cabot Street,Newtonville,MA,400,75665,2460
2070310,Charles E Brown Middle,Public School,125 Meadowbrook Rd,Newton Centre,MA,774,75665,2459
2070040,Countryside,Public School,191 Dedham Street,Newton Highlands,MA,436,75665,2461
2070315,F A Day Middle,Public School,21 Minot PL,Newtonville,MA,919,75665,2460
2070055,Franklin,Public School,125 Derby Street,West Newton,MA,446,75665,2465
2070075,Horace Mann,Public School,687 Watertown Street,Newtonville,MA,417,75665,2460
2070120,John Ward,Public School,10 Dolphin Rd,Newton Centre,MA,312,75665,2459
2070070,Lincoln-Eliot,Public School,191 Pearl Street,Newton,MA,346,75665,2458
2070080,Mason-Rice,Public School,149 Pleasant Street,Newton Centre,MA,507,75665,2459
2070105,Memorial Spaulding,Public School,250 Brookline Street,Newton Centre,MA,454,75665,2459
2070108,Newton Early Childhood Center,Public School,150 Jackson Road,Newton,MA,193,75665,2458
2070505,Newton North High,Public School,457 Walnut Street,Newtonville,MA,2126,75665,2460
2070510,Newton South High,Public School,140 Brandeis Rd,Newton Centre,MA,1851,75665,2459
2070320,Oak Hill Middle,Public School,130 Wheeler Road,Newton Centre,MA,639,75665,2459
2070100,Peirce,Public School,170 Temple Street,West Newton,MA,299,75665,2465
2070115,Underwood,Public School,101 Vernon Street,Newton Corner,MA,313,75665,2458
2070125,Williams,Public School,141 Grove Street,Auburndale,MA,293,75665,2466
2070130,Zervas,Public School,225 Nevada Street,Newtonville,MA,337,75665,2460
2080005,Freeman-Kennedy School,Public School,70 Boardman Street,Norfolk,MA,495,81344,2056
2080015,H Olive Day,Public School,232 Main Street,Norfolk,MA,442,81344,2056
9150705,Norfolk County Agricultural,Public School,400 Main Street,Walpole,MA,534,74644,2081
2090035,Brayton,Public School,20 Brayton Hill Terrace,North Adams,MA,389,62613,1247
2090008,Colegrove Park Elementary,Public School,24 Church Street,North Adams,MA,336,62613,1247
2090505,Drury High,Public School,1130 South Church Street,North Adams,MA,439,62613,1247
2090015,Greylock,Public School,100 Phelps Avenue,North Adams,MA,302,62613,1247
2110018,Annie L Sargent School,Public School,300 Abbott Street,North Andover,MA,552,77466,1845
2110001,Atkinson,Public School,111 Phillips Brks Rd,North Andover,MA,549,77466,1845
2110010,Franklin,Public School,2 Cypress Terrace,North Andover,MA,477,77466,1845
2110015,Kittredge,Public School,601 Main Street,North Andover,MA,296,77466,1845
2110505,North Andover High,Public School,430 Osgood Street,North Andover,MA,1391,77466,1845
2110305,North Andover Middle,Public School,495 Main Street,North Andover,MA,1139,77466,1845
2110020,Thomson,Public School,266 Waverly Rd,North Andover,MA,362,77466,1845
2120007,Amvet Boulevard,Public School,70 Amvet Boulevard,North Attleborough,MA,395,72079,2760
2120030,Community,Public School,45 South Washington Street,North Attleborough,MA,337,72079,2760
2120010,Falls,Public School,2 Jackson Street,North Attleborough,MA,282,72079,2760
2120013,Joseph W Martin Jr Elementary,Public School,37 Landry Avenue,North Attleborough,MA,683,72079,2760
2120505,North Attleboro High,Public School,1 Wilson W. Whitty Way,North Attleborough,MA,1163,72079,2760
2120020,North Attleborough Early Learning Center,Public School,25 School Street,North Attleborough,MA,136,72079,2760
2120305,North Attleborough Middle,Public School,564 Landry Avenue,North Attleborough,MA,1073,72079,2760
2120015,Roosevelt Avenue,Public School,108 Roosevelt Avenue,North Attleborough,MA,312,72079,2760
2150015,North Brookfield Elementary,Public School,10 New School Drive,North Brookfield,MA,329,71668,1535
2150505,North Brookfield High,Public School,10 New School Drive,North Brookfield,MA,230,71668,1535
7350010,Ashby Elementary,Public School,911 Main Street,Ashby,MA,216,64610,1431
7350030,Hawthorne Brook,Public School,64 Brookline Rd,Townsend,MA,490,64610,1469
7350310,Nissitissit Middle School,Public School,33 Chace Avenue,Pepperell,MA,526,64610,1463
7350505,North Middlesex Regional,Public School,19 Main Street,Townsend,MA,795,64610,1469
7350515,Peter Fitzpatrick School,Public School,4 Main Street,Pepperell,MA,10,64610,1463
7350005,Spaulding Memorial,Public School,1 Whitcomb Street,Townsend,MA,427,64610,1469
7350002,Squannacook Early Childhood Center,Public School,66 Brookline Road,Townsend,MA,79,64610,1469
7350035,Varnum Brook,Public School,10 Hollis Street,Pepperell,MA,563,64610,1463
2170003,E Ethel Little School,Public School,7 Barberry Lane,North Reading,MA,322,73771,1864
2170010,J Turner Hood,Public School,298A Haverhill St,North Reading,MA,341,73771,1864
2170005,L D Batchelder,Public School,175 Park Street,North Reading,MA,446,73771,1864
2170505,North Reading High,Public School,189 Park Street,North Reading,MA,811,73771,1864
2170305,North Reading Middle,Public School,189 Park Street,North Reading,MA,576,73771,1864
2100005,Bridge Street,Public School,2 Parsons Street,Northampton,MA,266,58980,1060
2100020,Jackson Street,Public School,120 Jackson Street,Northampton,MA,330,58980,1060
2100410,John F Kennedy Middle School,Public School,100 Bridge Rd,Florence,MA,638,58980,1062
2100025,Leeds,Public School,20 Florence Street,Leeds,MA,339,58980,1053
2100505,Northampton High,Public School,380 Elm Street,Northampton,MA,874,58980,1060
2100029,R. K. Finn Ryan Road,Public School,498 Ryan Rd,Florence,MA,228,58980,1062
4060705,Smith Vocational and Agricultural High,Public School,80 Locust Street,Northampton,MA,486,60728,1060
7300505,Algonquin Regional High,Public School,79 Bartlett Street,Northborough,MA,1443,86947,1532
2130015,Fannie E Proctor,Public School,26 Jefferson Rd,Northborough,MA,239,78504,1532
2130003,Lincoln Street,Public School,76 Lincoln Street,Northborough,MA,261,78504,1532
2130014,Marguerite E Peaslee,Public School,31 Maple Street,Northborough,MA,269,78504,1532
2130020,Marion E Zeh,Public School,33 Howard Street,Northborough,MA,303,78504,1532
2130305,Robert E. Melican Middle School,Public School,145 Lincoln Street,Northborough,MA,641,78504,1532
2140005,Northbridge Elementary,Public School,30 Cross Street,Whitinsville,MA,390,68961,1588
